year,oil_price_usd,gas_price_usd,oil_production_volume_million,gas_production_volume_billion,oil_export_volume_million_tons,gas_export_volume_billion_c_m,oil_gas_revenue_share_pct,trade_balance_usd,fdi_usd,import_volume_billion_usd,key_rate,tax_rates_VAT,tax_receipts_billion_USD,population_size,unemployment_rate,per_capita_income_thousands_usd,non_oil_gdp,cpi,military_expenditure_pct_gdp
1991,26.05,1.76,10.34,643,129.5,210,18,10.3,NULL,NULL,5.63,28,17,148390433,5,3.19,82,NULL,5.1
1992,16.55,1.4,2.92,641,111.8,200,20,10.3,NULL,NULL,3.5,28.1,18,148915991,5.2,10.1,80,NULL,4.8
1993,16.3,1.8,2.6,618,99.2,190,22,10.3,NULL,NULL,NULL,28.2,15,148135424,5.9,8.8,81,NULL,7
1994,12.35,1.6,2.33,607,88.9,185,18,10.3,-500,38.66,4.38,28.3,14,148200736,8.1,8.8,80,NULL,6.5
1995,16.4,1.5,2.25,595,85.9,180,16,10.3,-2000,46.71,5.88,28.4,13,148291403,8.3,9.1,79,2.4,6
1996,19.47,1.9,2.21,601,84.2,182,18,10.3,2000,46.46,5.25,28.5,12,148084582,9.3,9.3,78,2.6,5.5
1997,20.5,2.1,2.24,571,85.6,175,19,10.3,4000,53.12,5.5,28.6,11,147853771,10.8,10.5,77,2.3,4
1998,12,1.8,2.22,591,84.7,178,15,10.3,0,43.58,5.13,28.7,8,147635531,11.9,8.5,79,2.4,3.5
1999,18.5,2.2,2.24,592,85.3,180,20,10.3,2000,30.28,5.25,28.8,10,147241975,13,7,81,2.2,4.2
2000,26.2,3.6,2.38,585,90.6,185,27,58.35,1000,44.68,24,28.9,15,146717782,10.6,8.5,79,2.4,5.4
2001,22.8,3.3,2.55,581,97.3,190,24,10.3,2000,41.88,5.75,28.1,18,146117284,8.9,10,77,2.3,3.4
2002,23.7,2.9,2.79,595,106.2,195,26,10.3,2000,46.17,3.38,20,22,145939500,8,11,76,2.3,3.3
2003,27.2,4.8,3.09,620,117.7,200,30,10.3,6000,57.35,1,20,28,145794229,8.2,12.5,74,2.5,3.2
2004,26.8,5.2,3.36,633,128.3,205,32,10.3,10000,75.57,1.75,20,35,145180097,7.7,15,71,2.8,3.1
2005,50.6,7.5,3.44,641,131.4,210,36,10.3,34800,98.71,3.25,18,45,144597884,7.2,17.8,68,2.4,3
2006,61.09,6.42,3.53,656,134.5,215,40,10.3,25000,137.81,4.75,18,60,144102948,7.1,22.7,64,2.5,3
2007,69.29,6.8,3.6,653,137.2,220,44,10.3,45000,199.75,5,18,80,143859764,6,27.6,60,2.3,3
2008,94.4,8.5,3.58,665.1,136.6,225,48,10.3,55000,267.1,3.13,18,110,143811840,6.2,35.3,54,2.1,3.1
2009,61.06,4,3.62,583.1,138.2,200,35,10.3,30000,167.35,7.25,18,70,143869132,8.2,30.3,58,2.2,4.3
2010,78.2,5,3.7,650.7,141.2,215,38,10.3,35000,228.91,8.25,18,120,143934466,7.4,37.5,62,2.1,3.7
2011,109.35,6,3.75,670.7,142.9,225,50,10.3,45000,305.76,8.13,18,160,144043748,6.5,46.7,53,2.4,3.6
2012,110.52,5.2,3.8,654.5,144.8,230,52,10.3,45000,317.26,8.13,18,180,144291029,5.5,50.2,50,28,3.5
2013,107.88,5.5,3.84,667.8,146.2,235,53,10.3,55000,314.97,5.5,18,200,144604098,5.5,53.1,47,28,3.4
2014,97.6,9.84,3.86,642,147.2,240,50,10.3,15000,287.06,11.25,18,210,144925638,5.2,51.4,49,27,3.5
2015,51.23,4,3.91,635.5,149.3,245,30,10.3,15000,182.9,14,18,160,145307616,5.6,39,61,29,4.2
2016,41.9,3,4.01,640.2,153,250,36,10.3,25000,182.45,10.5,18,170,145778677,5.5,38.3,62,29,4.5
2017,53.03,3.5,4.01,691.1,152.8,255,34,10.3,30000,227.87,8.88,18,200,146186799,5.2,42,83.1,28,4.3
2018,70.01,4,4.07,725.4,155.3,260,33,21.16,15000,238.49,7.63,18,230,146430146,4.8,45,78.9,28,4.1
2019,63.59,3,4.11,738,156.6,265,31,10.3,25000,247.39,7,18,250,146533067,4.6,46.7,80.8,28,3.9
2020,41.73,2.5,3.76,692.3,143.3,250,28,10.3,-5000,234,5.25,20,210,146371298,5.8,39.1,86.1,30,4.1
2021,69,4,3.84,762.3,146.5,251,35,10.3,40000,296.1,6.38,20.1,340,145836175,4.8,46.3,82.6,29,4.1
2022,76.09,18,3.91,672,149.3,176,45,33.24,-25000,255.3,14.25,20.2,400,145579899,4,40.5,82,28,4.1
2023,62.99,9,3.83,638,146.2,180,30,10.3,-10000,285.1,13.75,20.3,300,145440500,3.2,35.3,83.5,26,5.9
2024,NULL,7,3.34,685,127.6,185,30,11.8,-5000,283,14.25,20.4,280,144820423,2.5,35,84,22,7.1
2025,NULL,NULL,3.59,695.4,137.1,190,25,9.5,NULL,NULL,19.5,20.5,290,143997393,NULL,36,84.5,22,7.2
